,title,Directed by,Story by,Based on,Produced by,Music by,Production company,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Running time(int),Box office(float),Budget(float),Release date (Datetime),IMDb rating,Meta Score,Rotten Tomatoes (%),Starring,Cinematography,Release date,Written by,Edited by,Languages,Narrated by,Screenplay by,Adaptation by,Countries,Color process,Genre,Created by,Country of origin,No.  of seasons,No.  of episodes,Executive producers,Network,Release,Production companies,Original language,Producer,Developed by,Voices of,Theme music composer,Opening theme,Ending theme,Composer,Producers,Editor,Kanji,Transcriptions,Revised Hepburn,Traditional Chinese,Simplified Chinese,Literal meaning,Original title,Layouts by
0,Snow White and the Seven Dwarfs,"['Supervising Directors', 'David Hand', 'Sequence Directors', 'Perce Pearce', 'William Cottrell', 'Larry Morey', 'Wilfred Jackson', 'Ben Sharpsteen']","Ted Sears, Richard Creedon, Otto Englander, Dick Rickard, Earl Hurd, Merrill De Maris, Dorothy Ann Blank, Webb Smith","['Snow White', 'by the', 'Brothers Grimm']",Walt Disney,"Frank Churchill, Leigh Harline, Paul Smith",Walt Disney Productions,RKO Radio Pictures,"December 21, 1937",83 minutes,United States,English,$1.5 million,$418 million,83.0,418000000.0,1500000.0,1937-12-21,7.6,96.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pinocchio,"Supervising Directors, Ben Sharpsteen, Hamilton Luske, Sequence Directors, Bill Roberts, Norman Ferguson, Jack Kinney, Wilfred Jackson, T. Hee","Ted Sears, Otto Englander, Webb Smith, William Cottrell, Joseph Sabo, Erdman Penner, Aurelius Battaglia","['The Adventures of Pinocchio', 'by', 'Carlo Collodi']",Walt Disney,"Leigh Harline, Paul J. Smith",Walt Disney Productions,RKO Radio Pictures,"February 7, 1940",88 minutes,United States,English,$2.6 million,$164 million,88.0,164000000.0,2600000.0,1940-02-07,7.5,99.0,100.0,"Cliff Edwards, Dickie Jones, Christian Rub, Walter Catlett, Charles Judels, Evelyn Venable, Frankie Darro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fantasia,"Samuel Armstrong, James Algar, Bill Roberts, Paul Satterfield, Ben Sharpsteen, David D. Hand, Hamilton Luske, Jim Handley, Ford Beebe, T. Hee, Norman Ferguson, Wilfred Jackson","Joe Grant, Dick Huemer",,"Walt Disney, Ben Sharpsteen",See plot,Walt Disney Productions,RKO Radio Pictures,,126 minutes,United States,English,$2.28 million,$76.4–$83.3 million ,126.0,76400000.0,2280000.0,1940-11-13,7.7,96.0,95.0,"Leopold Stokowski, Deems Taylor",James Wong Howe,"November 13, 1940 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The Reluctant Dragon,"['Alfred Werker', 'Hamilton Luske', 'Jack Cutting', 'Ub Iwerks', 'Jack Kinney']",,,Walt Disney,"['Frank Churchill', 'Larry Morey']",Walt Disney Productions,RKO Radio Pictures,,74 minutes,United States,English,"$600,000","$960,000  ",74.0,960000.0,600000.0,1941-06-27,6.7,N/A,100.0,"['Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']",Bert Glennon,"June 27, 1941 ","['Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",Paul Weatherwax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dumbo,"Supervising director , Ben Sharpsteen, Sequence directors , Norman Ferguson, Wilfred Jackson, Bill Roberts, Jack Kinney, Samuel Armstrong","Joe Grant, Dick Huemer","['Dumbo, the Flying Elephant', 'by', 'Helen Aberson', 'Harold Pearl']",Walt Disney,"['Frank Churchill', 'Oliver Wallace']",Walt Disney Productions,RKO Radio Pictures,"October 23, 1941",64 minutes,United States,English,"$950,000",>$1.3 million ,64.0,1300000.0,950000.0,1941-10-23,7.2,96.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bambi,"['Supervising Director', 'David D. Hand', 'Sequence Director', 'James Algar', 'Bill Roberts', 'Norman Wright', 'Sam Armstrong', 'Paul Satterfield', 'Graham Heid']","['Perce Pearce', 'Larry Morey', 'George Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']","['Bambi, a Life in the Woods', 'by', 'Felix Salten']",Walt Disney,"['Frank Churchill', 'Edward Plumb']",Walt Disney Productions,RKO Radio Pictures,"August 9, 1942",70 minutes,United States,English,"$858,000",$267.4 million,70.0,267400000.0,858000.0,1942-08-09,7.3,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Saludos Amigos,"Supervising Director, Norman Ferguson, Sequence Directors, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts","Homer Brightman, William Cottrell, Richard Huemer, Joe Grant, Harold Reeves, Ted Sears, Webb Smith, Roy Williams, Ralph Wright",,"['Walt Disney', 'Norm Ferguson']","Paul Smith, Edward H. Plumb",Walt Disney Productions,RKO Radio Pictures,"August 24, 1942",42 minutes,United States,,,$1 million  ,42.0,1000000.0,,1942-08-24,6.0,60.0,82.0,,,,,,"English, Portuguese, Spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Victory Through Air Power,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']",,Victory Through Air Power by Maj. Alexander P. Seversky,Walt Disney,"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",Walt Disney Productions,United Artists,,65 min,United States,English,"$788,000","$799,000",65.0,799000.0,788000.0,1943-07-17,6.5,N/A,N/A,Alexander de Seversky,Ray Rennahan,"July 17, 1943 ","['Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",Jack Dennis,,Art Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,The Three Caballeros,"Supervising Director: , Norman Ferguson, Sequence Directors: , Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young","Homer Brightman, Ernest Terrazas, Ted Sears, Bill Peet, Ralph Wright, Elmer Plummer, Roy Williams, William Cottrell, Del Connell, James Bodrero",,"['Walt Disney', 'Norman Ferguson']","Edward H. Plumb, Paul J. Smith, Charles Wolcott",Walt Disney Productions,RKO Radio Pictures,"December 21, 1944",71 minutes,United States,,,$3.355 million ,71.0,3355000.0,,1944-12-21,6.3,85.0,85.0,"Joaquin Garay, Clarence Nash, José Oliveira, Aurora Miranda, Carmen Molina, Dora Luz",,,,,"English, Spanish, Portuguese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Make Mine Music,"Jack Kinney, Clyde Geronimi, Hamilton Luske, Joshua Meador, Robert Cormack",James BodreroHomer BrightmanErwin GrahamEric GurneyT. HeeSylvia HollandDick HuemerDick KelseyDick KinneyJesse MarshTom OrebCap PalmerErdman PennerDick ShawHarry ReevesJohn WalbridgeRoy Williams,"['Casey at the Bat', 'by', 'Ernest Thayer', 'Peter and the Wolf', 'by', 'Sergei Prokofiev']","['Walt Disney', 'Joe Grant']","Eliot Daniel, Ken Darby, Charles Wolcott, Oliver Wallace, Edward Plumb",Walt Disney Productions,RKO Radio Pictures,"April 20, 1946",75 minutes,United States,English,$1.35 million,$3.275 million ,75.0,3275000.0,1350000.0,1946-04-20,6.1,60.0,58.0,"Nelson Eddy, Dinah Shore, Benny Goodman, Andrews Sisters, Jerry Colonna, Andy Russell, Sterling Holloway, David Lichine, Tania Riabouchinskaya, Lichine, Pied Piers, King's Men, Ken Darby's Chorus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
